PERSON ID,Source,Label,Target,OTHER NAMES,ETHNICITY/NATIONALITY,PHYSICAL DESCRIPTORS,LOCATION(S),BIOGRAPHICAL INFORMATION
P1,MOLIA,MOTHER OF,SILVIA,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)","Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P1,MOLIA,HOUSEMATE OF,PEGGY,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)","Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P1,MOLIA,SHIPMATE OF,SHIPMATE,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)","Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P1,MOLIA,IGBO ,OGO,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)","Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P1,MOLIA,CAREGIVER OF/FOR,ABBA,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)","Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P1,MOLIA,GARDENER,,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)","Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P1,MOLIA,SEASONEE OF,WONGA,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)","Molia first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Wonga (also known as Princess) to be 'seasoned'. One week after her purchase, he put her to work in Egypt's fields.

 Four years following her purchase, Molia gave birth to a mixed race baby girl named Silvia. When Silvia was fifteen months old, Thistlewood hired Molia to labor on Masemure, a neighboring sugar plantation. He forced her to leave Silvia behind and in the care of Nanny, another enslaved mother of a little girl named Little Phibbah who was the same age as Silvia. Shortly after their separation, Silvia fell sick and died. 

Molia was never the same following Silvia's death. She never had any more children, and and she also refused to stay in place. Over the course of the next six years, she would run away no less than fourteen times. The seventh of these escapes was to a place called Bluefields Bay, to see a person Molia herself identified as a ""Shipmate,"" a person who had survived the Middle Passage voyage with her to Jamaica. The fourteenth of these escapes (and the last that she would make in Jamaica) was to an estate called Paradise; it was the same estate where Molia had been sent to give birth to Silvia. 

Following this fourteenth recapture, Thistlewood sold Molia to another slave owner, who transported her away from Jamaica, and to the British colony of Savannah. Georgia."
P10,HOUSE FRANKE,FRIEND OF,PHIBBAH,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,FRIEND OF,EGYPT LUCY,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,FRIEND OF,NANCY,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
